game_id,inn_ct,bunt_fl,bat_id,pit_id,runs_scored,away_team_id,home_team_id,away_score_final,home_score_final,win_team_id,loss_team_id,OPS,SH_rate_bat
TBA202109170,10,FALSE,wallt003,garcb001,3,DET,TBA,4,7,DET,TBA,0.61,0.005681818
TBA202206240,10,FALSE,mejif001,deloy001,1,PIT,TBA,3,4,PIT,TBA,0.645,0
TEX202104180,10,TRUE,white006,lakit001,1,BAL,TEX,0,1,BAL,TEX,0.567,0
TEX202105230,10,FALSE,lowen001,presr001,1,HOU,TEX,2,3,HOU,TEX,0.772,0
TEX202106090,11,TRUE,white006,mcgej001,1,SFN,TEX,3,4,SFN,TEX,0.567,0
TEX202108190,10,FALSE,kinei001,smitj002,0,SEA,TEX,9,8,SEA,TEX,0.669,0.001477105
TEX202207120,11,FALSE,lowen001,jackz002,0,OAK,TEX,14,7,OAK,TEX,0.85,0
TOR202104080,10,FALSE,semim001,guerj003,0,ANA,TOR,7,5,ANA,TOR,0.872,0
TOR202105010,10,FALSE,bichb001,jonen001,1,ATL,TOR,5,6,ATL,TOR,0.827,0
TOR202105210,10,FALSE,bichb001,thomr007,0,TBA,TOR,9,7,TBA,TOR,0.827,0
TOR202105210,11,FALSE,tellr001,mchuc001,0,TBA,TOR,9,7,TBA,TOR,0.814,0
TOR202204260,10,FALSE,guerv002,barnm001,1,BOS,TOR,5,6,BOS,TOR,0.819,0
TOR202206150,10,FALSE,guerv002,bautf001,1,BAL,TOR,6,7,BAL,TOR,0.819,0
TOR202208290,10,FALSE,kirka001,leitm002,0,CHN,TOR,4,5,CHN,TOR,0.787,0
TOR202208290,11,FALSE,chapm001,leitm002,1,CHN,TOR,4,5,CHN,TOR,0.757,0
TOR202209260,10,FALSE,sprig001,schmc002,1,NYA,TOR,2,3,NYA,TOR,0.814,0
WAS202209280,10,TRUE,roblv001,stepj002,1,ATL,WAS,2,3,ATL,WAS,0.584,0.027027027
